Tarih,Saat,Basinc,Rakim,Sicaklik
4/11/2023,16:52:6,932.31,696.66,18.63
4/11/2023,16:52:0,767.75,2279.49,42.50
4/11/2023,16:52:6,932.93,691.14,14.74
4/11/2023,16:52:12,932.88,691.62,14.76
4/11/2023,16:52:18,932.80,692.33,14.77
4/11/2023,16:52:24,932.78,692.45,14.77
5/11/2023,10:47:5,932.83,692.04,15.48
5/11/2023,10:47:11,932.87,691.65,15.45
5/11/2023,10:47:17,932.80,692.29,15.42
5/11/2023,10:47:23,932.78,692.48,15.38
5/11/2023,10:48:2,932.82,692.09,15.19
5/11/2023,10:48:8,932.83,692.00,15.16
5/11/2023,10:48:15,933.03,690.25,20.71
5/11/2023,10:48:21,933.25,688.34,25.96
5/11/2023,10:48:27,933.27,688.09,24.81
5/11/2023,10:48:33,933.24,688.41,23.61
5/11/2023,10:48:39,933.22,688.56,22.57
5/11/2023,10:59:7,767.75,2279.49,42.50
5/11/2023,10:59:13,932.64,693.69,16.91
5/11/2023,11:6:40,767.75,2279.49,42.50
5/11/2023,11:6:46,932.62,693.95,15.69
5/11/2023,17:5:32,767.75,2279.49,42.50
5/11/2023,17:17:6,767.75,2279.49,42.50
5/11/2023,17:17:12,929.37,722.91,20.59
5/11/2023,17:17:18,929.43,722.34,20.65
5/11/2023,17:17:24,929.45,722.14,20.67
5/11/2023,17:17:30,929.42,722.44,20.81
5/11/2023,17:17:36,929.50,721.73,20.87
5/11/2023,17:17:42,929.53,721.43,20.84
5/11/2023,17:17:48,929.42,722.45,20.87
5/11/2023,17:17:54,929.42,722.47,20.92
5/11/2023,17:18:0,929.43,722.34,20.96
5/11/2023,17:18:6,929.42,722.42,20.97
5/11/2023,17:18:12,929.47,721.99,21.06
5/11/2023,17:18:18,929.44,722.25,21.24
5/11/2023,17:18:24,929.48,721.86,21.28
5/11/2023,17:18:30,929.47,721.96,21.37
5/11/2023,17:18:36,929.62,720.69,22.55
5/11/2023,17:18:42,929.59,720.92,22.46
5/11/2023,17:18:48,929.48,721.93,22.49
5/11/2023,17:18:54,929.56,721.19,22.44
5/11/2023,17:19:0,929.64,720.48,22.36
5/11/2023,17:19:6,929.69,720.05,22.27
5/11/2023,17:19:12,929.58,720.97,22.27
5/11/2023,17:19:18,929.56,721.16,22.23
5/11/2023,17:19:24,929.61,720.75,22.18
5/11/2023,17:19:30,929.64,720.47,22.24
5/11/2023,17:19:36,929.61,720.74,22.24
5/11/2023,17:19:42,929.64,720.48,22.19
5/11/2023,17:19:48,929.61,720.70,22.17
5/11/2023,17:19:54,929.60,720.81,22.17
5/11/2023,17:20:0,929.57,721.06,22.15
5/11/2023,17:20:6,929.55,721.23,22.15
5/11/2023,17:20:12,929.63,720.59,22.13
5/11/2023,17:20:18,929.61,720.73,22.18
5/11/2023,17:20:24,929.62,720.66,22.14
5/11/2023,17:20:30,929.60,720.84,22.05
5/11/2023,17:20:36,929.57,721.07,21.98
5/11/2023,17:20:42,929.60,720.82,21.92
5/11/2023,17:20:48,929.66,720.32,21.88
5/11/2023,17:20:54,929.62,720.65,21.83
6/11/2023,9:47:2,767.75,2279.49,42.50
6/11/2023,9:47:8,926.86,745.30,15.11
6/11/2023,9:47:14,926.81,745.75,15.21
6/11/2023,9:47:20,926.86,745.29,15.34
6/11/2023,9:47:26,926.84,745.45,15.40
6/11/2023,9:47:32,926.82,745.66,15.45
6/11/2023,9:47:38,926.80,745.82,15.50
6/11/2023,9:47:44,926.85,745.37,15.57
6/11/2023,9:47:50,926.83,745.61,15.61
6/11/2023,9:47:56,926.88,745.14,15.63
6/11/2023,9:48:2,926.81,745.75,15.67
6/11/2023,9:48:8,926.86,745.29,15.67
6/11/2023,10:5:36,767.75,2279.49,42.50
6/11/2023,10:5:42,926.35,749.85,12.55
6/11/2023,10:5:48,926.44,749.10,12.56
6/11/2023,10:5:54,926.35,749.91,12.56
6/11/2023,10:6:0,926.43,749.20,12.56
6/11/2023,10:6:6,926.42,749.22,12.57
6/11/2023,10:6:12,926.38,749.62,12.58
6/11/2023,10:6:18,926.48,748.70,12.58
6/11/2023,10:6:24,926.86,745.34,12.59
6/11/2023,10:6:30,926.86,745.31,12.59
6/11/2023,10:6:37,926.84,745.45,12.58
6/11/2023,10:6:43,926.81,745.80,12.57
6/11/2023,10:6:49,926.90,744.97,12.57
6/11/2023,10:6:55,926.81,745.80,12.56
6/11/2023,10:7:1,926.80,745.82,12.54
6/11/2023,10:7:7,926.78,746.04,12.54
6/11/2023,10:7:13,926.86,745.31,12.53
6/11/2023,10:7:19,926.92,744.75,12.52
6/11/2023,10:7:25,926.83,745.55,12.51
6/11/2023,10:7:31,926.81,745.73,12.51
6/11/2023,10:7:37,926.89,745.03,12.51
6/11/2023,10:7:43,926.90,744.97,12.50
6/11/2023,10:7:49,926.89,745.07,12.50
6/11/2023,10:7:55,926.95,744.50,12.50
6/11/2023,10:8:1,926.93,744.70,12.50
6/11/2023,10:8:7,926.93,744.73,12.49
6/11/2023,10:8:13,926.96,744.45,12.49
6/11/2023,10:8:19,926.89,745.05,12.49
6/11/2023,10:8:25,926.91,744.85,12.49
6/11/2023,10:8:31,926.82,745.63,12.49
6/11/2023,10:8:37,926.88,745.11,12.49
6/11/2023,10:8:43,926.84,745.49,12.48
6/11/2023,10:8:49,926.90,744.95,12.49
6/11/2023,10:8:55,926.98,744.26,12.49
6/11/2023,10:9:1,926.90,744.95,12.50
6/11/2023,10:9:7,926.95,744.48,12.49
6/11/2023,10:9:13,926.98,744.23,12.49
6/11/2023,10:9:19,926.89,745.06,12.49
6/11/2023,10:9:25,926.93,744.69,12.49
6/11/2023,10:9:31,926.98,744.27,12.49
6/11/2023,10:9:37,926.95,744.47,12.50
6/11/2023,10:9:43,927.00,744.06,12.50
6/11/2023,10:9:49,926.93,744.65,12.50
6/11/2023,10:9:55,926.94,744.62,12.50
6/11/2023,10:10:1,926.87,745.22,12.50
6/11/2023,10:10:7,926.85,745.36,12.50
6/11/2023,10:10:13,926.84,745.52,12.50
6/11/2023,10:10:19,926.87,745.20,12.50
6/11/2023,10:10:25,926.91,744.85,12.51
6/11/2023,10:10:31,926.89,745.09,12.51
6/11/2023,10:10:37,926.91,744.83,12.51
6/11/2023,10:10:43,926.76,746.21,12.51
6/11/2023,10:10:49,926.88,745.12,12.51
6/11/2023,10:10:55,926.88,745.11,12.51
6/11/2023,10:11:1,926.86,745.32,12.52
6/11/2023,10:11:7,926.91,744.90,12.52
6/11/2023,10:11:13,926.80,745.85,12.53
6/11/2023,10:11:19,926.81,745.72,12.53
6/11/2023,10:11:25,926.86,745.30,12.53
6/11/2023,10:11:31,926.90,744.95,12.54
6/11/2023,10:11:37,926.91,744.89,12.54
6/11/2023,10:11:43,926.87,745.26,12.54
6/11/2023,10:11:49,926.91,744.87,12.54
6/11/2023,10:11:55,926.82,745.63,12.55
6/11/2023,10:12:1,926.92,744.82,12.55
6/11/2023,10:12:7,926.81,745.79,12.57
6/11/2023,10:12:13,926.52,748.37,12.56
6/11/2023,10:12:19,926.49,748.59,12.57
6/11/2023,10:12:25,926.52,748.34,12.58
6/11/2023,10:12:31,926.53,748.29,12.58
6/11/2023,10:12:37,926.50,748.53,12.58
6/11/2023,10:12:43,926.50,748.52,12.58
6/11/2023,10:12:49,926.46,748.85,12.59
6/11/2023,10:12:55,926.51,748.43,12.59
6/11/2023,10:13:1,926.50,748.54,12.60
6/11/2023,10:13:8,926.52,748.33,12.60
6/11/2023,10:13:14,926.58,747.83,12.61
6/11/2023,10:13:20,926.50,748.49,12.63
6/11/2023,10:13:26,926.41,749.31,12.63
6/11/2023,10:13:32,926.56,747.95,12.64
6/11/2023,10:13:38,926.48,748.71,12.64
6/11/2023,10:13:44,926.55,748.12,12.64
6/11/2023,10:13:50,926.40,749.40,12.65
6/11/2023,10:13:56,926.53,748.28,12.65
6/11/2023,10:14:2,926.57,747.90,12.67
6/11/2023,10:14:8,926.46,748.86,12.68
6/11/2023,10:14:14,926.48,748.76,12.68
6/11/2023,10:14:20,926.43,749.14,12.69
